ReadingDateTime,Site,Species,Value,Units,Provisional or Ratified
2005-05-18 03:30:00,BX1,WSPD,1.4,m/s,P
2005-05-11 04:30:00,BX1,WSPD,2.5,m/s,P
2005-06-25 08:00:00,BX1,FINE,30.0,ug/m3,P
2005-03-28 05:45:00,BX1,FINE,41.0,ug/m3,P
2005-09-01 01:30:00,BX1,FINE,9.0,ug/m3,P
2005-03-28 04:15:00,BX1,WDIR,287.0,oN,P
2005-10-13 12:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-04-14 13:30:00,BX1,FINE,7.0,ug/m3,P
2005-01-27 02:00:00,BX1,FINE,12.0,ug/m3,P
2005-10-02 18:15:00,BX1,FINE,8.0,ug/m3,P
2005-12-26 22:00:00,BX1,WSPD,2.5,m/s,P
2005-05-12 20:30:00,BX1,CO,0.5,mg m-3,R
2005-10-26 12:15:00,BX1,PM10,25.5,ug m-3 reference equiv by VCM,R
2005-07-30 18:30:00,BX1,PM10,19.2,ug m-3 reference equiv by VCM,R
2005-08-12 01:30:00,BX1,CO,0.2,mg m-3,R
2005-12-08 17:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-12-30 07:00:00,BX1,FINE,10.0,ug/m3,P
2005-01-11 04:30:00,BX1,WSPD,2.1,m/s,P
2005-06-29 09:45:00,BX1,WDIR,259.0,oN,P
2005-07-03 14:30:00,BX1,FINE,11.0,ug/m3,P
2005-05-07 17:00:00,BX1,WDIR,136.0,oN,P
2005-09-12 16:15:00,BX1,PM10,58.4,ug m-3 reference equiv by VCM,R
2005-04-27 21:45:00,BX1,FINE,7.0,ug/m3,P
2005-03-03 13:00:00,BX1,FINE,11.0,ug/m3,P
2005-05-10 16:45:00,BX1,WSPD,1.5,m/s,P
2005-02-27 01:00:00,BX1,FINE,5.0,ug/m3,P
2005-07-03 11:15:00,BX1,WSPD,2.2,m/s,P
2005-07-26 03:45:00,BX1,WDIR,22.0,oN,P
2005-09-24 05:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-09-23 20:15:00,BX1,CO,0.5,mg m-3,R
2005-06-17 15:45:00,BX1,PM10,19.6,ug m-3 reference equiv by VCM,R
2005-06-26 05:30:00,BX1,WSPD,2.4,m/s,P
2005-08-10 02:15:00,BX1,WSPD,0.9,m/s,P
2005-01-29 20:30:00,BX1,WSPD,1.6,m/s,P
2005-09-20 08:00:00,BX1,WDIR,,oN,P
2005-11-14 17:00:00,BX1,WSPD,1.3,m/s,P
2005-09-11 19:00:00,BX1,CO,1.2,mg m-3,R
2005-09-29 23:15:00,BX1,CO,0.2,mg m-3,R
2005-06-21 07:00:00,BX1,WDIR,285.0,oN,P
2005-01-04 18:00:00,BX1,WDIR,28.0,oN,P
2005-05-25 08:30:00,BX1,WSPD,3.0,m/s,P
2005-04-14 10:00:00,BX1,CO,0.2,mg m-3,R
2005-12-27 05:30:00,BX1,WSPD,2.3,m/s,P
2005-04-13 11:00:00,BX1,WSPD,2.5,m/s,P
2005-05-10 12:30:00,BX1,WDIR,7.0,oN,P
2005-05-16 07:15:00,BX1,CO,0.5,mg m-3,R
2005-10-02 06:45:00,BX1,WDIR,207.0,oN,P
2005-12-13 01:45:00,BX1,WSPD,2.2,m/s,P
2005-01-18 19:30:00,BX1,CO,0.3,mg m-3,R
2005-08-06 08:30:00,BX1,WDIR,46.0,oN,P
2005-08-20 13:00:00,BX1,WDIR,4.0,oN,P
2005-10-19 14:15:00,BX1,WDIR,161.0,oN,P
2005-12-19 00:15:00,BX1,FINE,4.0,ug/m3,P
2005-04-22 08:30:00,BX1,WDIR,51.0,oN,P
2005-02-17 01:45:00,BX1,WDIR,191.0,oN,P
2005-09-18 02:00:00,BX1,WSPD,1.5,m/s,P
2005-08-14 06:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-10-19 02:00:00,BX1,CO,0.3,mg m-3,R
2005-07-22 17:30:00,BX1,WSPD,1.8,m/s,P
2005-11-29 11:00:00,BX1,FINE,12.0,ug/m3,P
2005-08-15 23:00:00,BX1,WSPD,0.8,m/s,P
2005-10-09 15:15:00,BX1,WDIR,21.0,oN,P
2005-01-19 02:00:00,BX1,WDIR,244.0,oN,P
2005-03-10 11:00:00,BX1,FINE,2.0,ug/m3,P
2005-07-19 04:30:00,BX1,CO,,mg m-3,R
2005-11-22 19:45:00,BX1,FINE,20.0,ug/m3,P
2005-03-13 09:15:00,BX1,PM10,20.5,ug m-3 reference equiv by VCM,R
2005-01-29 10:15:00,BX1,FINE,7.0,ug/m3,P
2005-12-07 14:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-03-15 03:00:00,BX1,CO,0.2,mg m-3,R
2005-05-08 12:30:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-09-16 13:00:00,BX1,WDIR,4.0,oN,P
2005-02-03 21:00:00,BX1,WDIR,353.0,oN,P
2005-08-07 09:00:00,BX1,WDIR,312.0,oN,P
2005-09-26 23:00:00,BX1,WDIR,193.0,oN,P
2005-06-25 02:15:00,BX1,FINE,16.0,ug/m3,P
2005-11-07 18:45:00,BX1,CO,0.1,mg m-3,R
2005-07-29 23:45:00,BX1,WDIR,208.0,oN,P
2005-04-05 00:30:00,BX1,WSPD,2.1,m/s,P
2005-11-06 19:45:00,BX1,CO,0.2,mg m-3,R
2005-05-29 17:45:00,BX1,WSPD,1.2,m/s,P
2005-01-07 18:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-06-29 04:00:00,BX1,WDIR,26.0,oN,P
2005-09-03 22:15:00,BX1,WSPD,1.1,m/s,P
2005-02-25 11:45:00,BX1,WSPD,1.4,m/s,P
2005-05-24 12:30:00,BX1,FINE,11.0,ug/m3,P
2005-07-30 03:30:00,BX1,WDIR,164.0,oN,P
2005-07-05 15:45:00,BX1,CO,0.2,mg m-3,R
2005-06-14 02:45:00,BX1,WSPD,2.4,m/s,P
2005-10-18 05:30:00,BX1,WDIR,88.0,oN,P
2005-05-06 18:45:00,BX1,CO,0.1,mg m-3,R
2005-02-22 18:15:00,BX1,PM10,14.1,ug m-3 reference equiv by VCM,R
2005-04-18 21:45:00,BX1,WDIR,211.0,oN,P
2005-09-10 21:30:00,BX1,CO,0.5,mg m-3,R
2005-12-31 12:15:00,BX1,WDIR,213.0,oN,P
2005-11-09 14:30:00,BX1,WSPD,1.7,m/s,P
2005-07-05 00:45:00,BX1,WDIR,212.0,oN,P
2005-05-30 15:15:00,BX1,FINE,11.0,ug/m3,P
2005-06-06 05:00:00,BX1,WDIR,19.0,oN,P
2005-09-01 09:00:00,BX1,FINE,7.0,ug/m3,P
2005-10-01 22:30:00,BX1,FINE,5.0,ug/m3,P
2005-09-01 05:00:00,BX1,CO,0.2,mg m-3,R
